game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
Spriter Pro,332360,0.066666667,,72.0,66.0,67.0,190.0,11/14/2014,x,,x,,,,,,,,,,,,,,,,
Stacking,115110,0.016666667,80.0,90.0,88.0,85.0,877.0,3/6/2012,x,x,x,x,,,,,,,,x,,,,,,,
Starbound,211820,49.0,81.0,90.0,90.0,89.0,84534.0,7/22/2016,x,x,x,x,,,x,,,x,,x,,x,,,,,
Starbound - Unstable,367540,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardew Valley,413150,144.6666667,89.0,98.0,98.0,97.0,580492.0,2/26/2016,x,x,x,x,,,x,,,,,x,,x,,,,,
Stealth Inc 2: A Game of Clones,329380,0.2,,72.0,64.0,67.0,101.0,4/30/2015,x,,,,,,,,,,,x,,,,,,x,
Stellaris,281990,75.21666667,78.0,88.0,88.0,87.0,114566.0,5/9/2016,x,x,x,x,,,,,,x,,x,,x,,,,,
Stories: The Path of Destinies,439190,,74.0,86.0,85.0,82.0,1865.0,4/12/2016,x,,,x,,,,,,,,x,,,,,,,
STRANGER OF PARADISE FINAL FANTASY ORIGIN,1358700,38.6,,84.0,83.0,81.0,2142.0,4/6/2023,x,,,,,,x,,,,,x,,,,,,,
Street Fighter™ 6,1364780,57.26666667,92.0,86.0,86.0,84.0,23360.0,6/1/2023,x,,,x,,,,,,x,,x,,,x,,x,,
Streets of Rogue,512900,8.733333333,,96.0,96.0,93.0,15046.0,7/12/2019,x,x,x,x,,,x,,,x,,x,,x,,,,x,
SuchArt: Genius Artist Simulator,1293180,,,97.0,96.0,93.0,3336.0,10/13/2022,x,,,x,,,,,,,,x,,,,,,,
Sunrider: Mask of Arcadius,313730,0.233333333,,92.0,91.0,88.0,2769.0,7/2/2014,x,x,x,x,,,,,,,,,,,,,,,
Super Animal Royale,843380,0.7,,93.0,93.0,91.0,39674.0,8/26/2021,x,x,,x,,,x,,,x,,,,x,,,x,,
Super Auto Pets,1714040,1.516666667,,90.0,90.0,88.0,31125.0,9/24/2021,x,x,x,x,,,,,,x,,,,,,,x,,
Super Bomberman R Online,1308380,0.616666667,,59.0,58.0,58.0,3483.0,5/26/2021,,,,x,,,,,x,x,,,x,,,,x,,
Super Splatters,95000,8.866666667,73.0,75.0,69.0,70.0,169.0,6/26/2013,,,,,,,,,,,,x,,,,,,,
Surgeon Simulator,233720,2.716666667,71.0,83.0,82.0,81.0,13187.0,4/19/2013,x,x,x,x,,,,,,,,x,,x,,,,,
Surviving Mars,464920,,76.0,85.0,85.0,83.0,15040.0,3/15/2018,x,x,x,,,,,,,,,x,,x,,,,,
Sweet Lily Dreams,300540,0.016666667,,83.0,64.0,69.0,18.0,5/16/2014,x,,,,,,,,,,,x,,,,,,,
Tabletop Simulator,286160,47.35,,96.0,96.0,94.0,38496.0,6/5/2015,x,x,x,,,,x,,,x,,x,,x,,,,x,
Tacoma,343860,,76.0,87.0,86.0,84.0,2762.0,8/1/2017,x,x,x,x,,,,,,,,x,,x,,,,,
Team Fortress 2,440,20.38333333,92.0,93.0,93.0,92.0,1039590.0,10/10/2007,x,x,x,x,x,,x,x,,x,,,,x,,,x,x,
Team Sonic Racing™,785260,0.766666667,,73.0,72.0,71.0,2465.0,5/21/2019,x,,,,,,x,,,,,x,,,,,,,
Terraria,105600,956.3333333,83.0,97.0,97.0,96.0,1014704.0,5/16/2011,x,x,x,x,,,x,,,,,x,,x,,,,,
The Binding of Isaac,113200,43.51666667,84.0,95.0,95.0,93.0,44781.0,9/28/2011,x,x,,x,,,,,,,,x,,,,,,,
The Binding of Isaac: Rebirth,250900,252.4666667,,97.0,97.0,96.0,255592.0,11/4/2014,x,x,x,x,,,x,,,,,x,,,,,,,
The Bureau: XCOM Declassified,65930,,66.0,67.0,66.0,66.0,4563.0,8/19/2013,x,x,,x,,,,,,,,x,,,,,,,
The Elder Scrolls V: Skyrim,72850,122.2,94.0,94.0,94.0,93.0,180942.0,11/10/2011,x,,,x,,,,,,,,x,,,,,,,
The Elder Scrolls V: Skyrim Special Edition,489830,7.6,74.0,93.0,93.0,92.0,158303.0,10/27/2016,x,,,x,,,,,,,,x,,,,,,,
The Elder Scrolls®: Legends™,364470,5.533333333,,74.0,73.0,73.0,10549.0,5/31/2017,x,x,,x,,,,,,x,,,,,,,x,,
The Escapists,298630,10.08333333,71.0,90.0,90.0,88.0,13942.0,2/13/2015,x,x,x,x,,,x,,,,,x,,x,,,,,
THE FINALS,2073850,13.43333333,,75.0,75.0,74.0,156596.0,12/7/2023,x,,,,,,x,,,x,,,,,,,x,,
The Jackbox Party Pack,331670,,,91.0,90.0,86.0,1331.0,11/26/2014,x,x,x,x,,,x,,,,,x,,,,,,,
The Jackbox Party Pack 2,397460,1.05,,95.0,94.0,90.0,1302.0,10/13/2015,x,x,x,x,,,x,,,,,x,,,,,,,
The Jackbox Party Pack 3,434170,14.68333333,,97.0,97.0,93.0,4474.0,10/17/2016,x,x,x,x,,,x,,,,,x,,,,,,,
The Jackbox Party Pack 4,610180,7.616666667,,95.0,94.0,91.0,2183.0,10/18/2017,x,x,x,x,,,x,,,,,x,,,,,,,
The Jackbox Party Pack 5,774461,,,93.0,92.0,89.0,1961.0,10/17/2018,x,x,x,x,,,x,,,,,x,,,,,,,
The Jackbox Party Pack 6,1005300,0.683333333,80.0,95.0,94.0,90.0,2086.0,10/16/2019,x,x,x,x,,,x,,,,,x,,,,,,,
The Last Campfire,990630,,80.0,97.0,97.0,94.0,6858.0,10/7/2021,x,,,x,,,,,,,,x,,,x,,,,
The Norwood Suite,696480,,78.0,96.0,94.0,89.0,491.0,10/2/2017,x,x,,x,x,,,,,,,x,,,x,,,,
The one who pulls out the sword will be crowned king,1865370,0.1,,90.0,89.0,87.0,8291.0,3/28/2022,x,x,x,x,,,,,,,,,,,,,,,
The Outer Worlds: Spacer's Choice Edition,1920490,1.966666667,,63.0,60.0,61.0,987.0,3/7/2023,x,,,x,,,,,,,,x,,,,,,,
The Outlast Trials,1304930,27.61666667,,93.0,93.0,91.0,40493.0,3/5/2024,x,,,x,,,x,,,,,x,,,,,,,
The Red Solstice,265590,,74.0,73.0,70.0,70.0,836.0,7/9/2015,x,,,x,x,,x,,,,,x,,,,,,,
The Walking Dead,207610,14.21666667,82.0,97.0,97.0,95.0,41607.0,4/24/2012,x,x,,x,,,,,,,,x,,,,,,,
The Walking Dead: Season Two,261030,7.6,80.0,96.0,96.0,94.0,22818.0,12/17/2013,x,x,,x,,,,,,,,x,,,,,,,
The Witcher® 3: Wild Hunt,292030,76.73333333,93.0,96.0,96.0,95.0,702807.0,5/18/2015,x,,,x,,,,,,,,x,,x,,,,,
Thief,239160,2.566666667,70.0,75.0,74.0,74.0,16085.0,2/27/2014,x,x,,x,,,,,,,,x,,x,,,,,
Tiger Knight: Empire War,534500,2.033333333,,78.0,77.0,76.0,8522.0,10/24/2016,x,,,,,,x,,,,x,,,,,,x,,
Time Clickers,385770,0.283333333,,87.0,86.0,84.0,4994.0,7/23/2015,x,x,x,x,,,,,,,,,,,,,,,
Tin Can,1315980,,,87.0,85.0,82.0,720.0,5/12/2022,x,,,x,,,,,,,,x,,,x,,,,
Tiny Rogues,2088570,27.71666667,,97.0,97.0,94.0,6184.0,9/23/2022,x,,,x,,,,,,,x,x,,,,,,,
tModLoader,1281930,124.2333333,,97.0,97.0,96.0,242905.0,5/16/2020,x,x,x,x,,,x,,,,,,,,,,,,
To the Moon,206440,4.016666667,81.0,96.0,96.0,94.0,57438.0,11/1/2011,x,x,x,x,,,,,,,,x,,,,,,,
Tom Clancy's Ghost Recon Phantoms - NA,243870,8.183333333,70.0,71.0,70.0,70.0,19195.0,4/10/2014,x,,,,,,x,,x,,,,,,,,,,
Tom Clancy's Ghost Recon® Wildlands Open Beta,584210,0.783333333,,49.0,48.0,49.0,4706.0,2/23/2017,x,,,,,x,x,,x,,,,,,,,,,
Tomb Raider,203160,6.233333333,86.0,96.0,96.0,95.0,142569.0,3/4/2013,x,x,,x,,,,,,,,x,,x,,,,,
Torchlight II,200710,2.25,88.0,93.0,93.0,91.0,31251.0,9/20/2012,x,x,,x,,,x,,,x,,x,,x,,,,,
Toribash,248570,3.883333333,,88.0,88.0,86.0,16358.0,3/1/2006,x,x,x,x,,,,,,x,,,,,,,x,x,
Total War: SHOGUN 2,34330,,90.0,91.0,91.0,89.0,31483.0,3/15/2011,x,x,x,,,,x,,,,,x,,,,,,,
Total War: WARHAMMER,364360,,86.0,78.0,78.0,77.0,30969.0,5/24/2016,x,x,x,x,,,x,,,,,x,,,,,,,
Total War: WARHAMMER II,594570,37.23333333,87.0,93.0,93.0,92.0,82719.0,9/28/2017,x,x,x,x,,,x,,,,,x,,,,,,,
Total War: WARHAMMER III,1142710,3.8,86.0,62.0,62.0,62.0,68778.0,2/16/2022,x,x,x,,,,x,,,,,x,,,,,,,
Totally Accurate Battlegrounds,823130,22.55,,88.0,88.0,87.0,83933.0,6/5/2018,x,,,x,,,x,,,,,,,x,,,x,,
TrackMania Nations Forever,11020,0.016666667,,89.0,89.0,87.0,22311.0,4/16/2008,x,,,x,,,x,,,,,,,,,,,x,
Trek to Yomi,1370050,,,71.0,69.0,69.0,1488.0,5/5/2022,x,,,x,,,,,,,,x,,,,,,,
Trine 2: Complete Story,35720,,84.0,95.0,95.0,92.0,14657.0,6/6/2013,x,x,x,x,,,x,,,x,,x,,x,,,,x,
Tropico 5,245620,55.9,75.0,78.0,77.0,76.0,9449.0,5/23/2014,x,,x,x,,,x,,,x,,x,,x,,,,x,
Trove,304050,13.16666667,,80.0,80.0,79.0,91545.0,7/9/2015,x,,,x,,,x,,,,,,,,,,x,,
Ultimate Custom Night,871720,2.066666667,,95.0,95.0,93.0,54932.0,6/27/2018,x,,,,,,,,,,,,,,,,,,
Ultimate Epic Battle Simulator,616560,0.25,,77.0,76.0,75.0,8345.0,4/12/2017,x,,,x,,,,,,,,x,,,,,,,
ULTRAKILL,1229490,7.65,,98.0,98.0,96.0,95036.0,9/3/2020,x,,,x,,,,,,,x,x,,x,,,,,
UNBEATABLE [white label],1290490,0.383333333,,96.0,96.0,93.0,7668.0,5/7/2021,x,,,x,,,,,,,,,,,,,,,
Undertale,391540,18.3,92.0,96.0,96.0,95.0,197802.0,9/15/2015,x,x,x,x,,,,,,,,x,,,,,,,
UnEpic,233980,8.266666667,68.0,91.0,90.0,88.0,5075.0,7/25/2014,x,x,x,x,,,x,,,,,x,,,,,,x,
Unfortunate Spacemen,408900,6.066666667,,86.0,85.0,84.0,7354.0,6/12/2020,x,,,,,,x,,,,,,,x,,,x,,
Unturned,304930,3.733333333,,91.0,91.0,90.0,537384.0,7/7/2017,x,x,x,x,,,x,,,,,,,x,,,x,x,
Vainglory,1025580,0.016666667,,65.0,64.0,64.0,4190.0,2/13/2019,,,,,,,x,,,x,x,x,,,,,x,,
Valheim,892970,16.18333333,,94.0,94.0,93.0,381509.0,2/2/2021,x,,x,x,,,x,,,,x,x,,x,,,,,
Vampire Survivors,1794680,65.85,86.0,98.0,98.0,97.0,216405.0,10/20/2022,x,x,,x,,,x,,,,,x,,,,,,,
Vampire: The Masquerade - Bloodhunt,760160,0.75,,75.0,75.0,74.0,54249.0,4/27/2022,x,,,x,,,,,,x,,,,,,,x,,
Viscera Cleanup Detail: Shadow Warrior,255520,,,80.0,79.0,77.0,2101.0,10/11/2013,x,x,x,x,,,x,,,,,x,,,,,,,
VRChat,438100,0.35,,74.0,74.0,73.0,214928.0,2/1/2017,x,,,x,,,x,,,x,x,,,,,,,,
WAKFU,215080,0.633333333,76.0,75.0,74.0,73.0,9843.0,9/18/2014,x,x,x,,,,x,,,,,,,,,,x,,
Wall World,2187290,,,92.0,91.0,89.0,6681.0,4/5/2023,x,,,x,,,,,,,,x,,,,,,,
Wallpaper Engine,431960,33.48333333,,98.0,98.0,97.0,710917.0,11/1/2018,x,,,,,,,,,,,,,,,,,x,
War Thunder,236390,20.96666667,81.0,75.0,75.0,75.0,478651.0,8/15/2013,x,x,x,x,,,x,,,x,,,,x,,,x,,
Warframe,230410,168.0333333,69.0,87.0,87.0,86.0,571644.0,3/25/2013,x,,,x,,,x,,,,,,,x,,,x,,
"Warhammer 40,000: Dark Nexus Arena",408330,0.133333333,,39.0,35.0,41.0,493.0,12/9/2015,x,,,,,x,x,,,,x,,,,,,,,
"Warhammer 40,000: Mechanicus",673880,,78.0,92.0,92.0,89.0,9393.0,11/15/2018,x,x,x,x,,,,,,,,x,,x,,,,,
"Warhammer 40,000: Space Marine - Anniversary Edition",55150,,74.0,92.0,92.0,90.0,12017.0,9/5/2011,x,,,x,,,x,,,,,x,,,,,,,
Warhammer Age of Sigmar: Realms of Ruin,1844380,,,58.0,56.0,57.0,1294.0,11/17/2023,x,,,,,,,,,x,,x,,,,x,,,
Warhammer: End Times - Vermintide,235540,0.583333333,79.0,82.0,81.0,80.0,12957.0,10/23/2015,x,,,x,x,,x,,,,,x,,x,,,,,
Warhammer: Vermintide 2,552500,18.4,82.0,84.0,84.0,83.0,77455.0,3/8/2018,x,,,,,,x,,,,,x,,x,,,,,
WARRIORS OROCHI 3 Ultimate Definitive Edition,1879330,1.8,83.0,88.0,87.0,84.0,1631.0,7/12/2022,x,,,x,,,x,,,,,x,,,,,,,
We Become What We Behold [Fan-Made Port],1103210,0.083333333,,96.0,95.0,92.0,4573.0,7/9/2019,x,x,,x,,,,,,,,,,,,,,,
We Were Here,582500,1.633333333,,90.0,90.0,88.0,26606.0,2/3/2017,x,x,,,,,x,,,,,,,,,,,,
We Were Here Expeditions: The FriendShip,2296990,,,85.0,83.0,81.0,1115.0,9/14/2023,x,,,x,,,x,,,x,,x,,,,,,,
World of Warships,552990,0.7,81.0,77.0,77.0,76.0,138104.0,11/15/2017,x,,,x,,,x,,,,,,,x,,,x,,
Written in the Sky,416130,,,77.0,75.0,74.0,2090.0,10/31/2015,,,,,,,,,,,,x,,,,,,,
XCOM® 2,268500,18.18333333,88.0,84.0,84.0,83.0,67648.0,2/4/2016,x,x,x,x,,,x,,,,,x,,,,,,,
YOU DON'T KNOW JACK HEADRUSH,260060,,,79.0,64.0,69.0,29.0,4/20/1998,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK MOVIES,260000,,,65.0,53.0,60.0,46.0,4/30/1997,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK SPORTS,260020,,,76.0,58.0,66.0,21.0,9/30/1996,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK TELEVISION,260040,,,85.0,71.0,72.0,27.0,5/9/1997,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK Vol. 1 XL,252730,,,82.0,76.0,75.0,128.0,9/12/1995,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK Vol. 2,259940,,,91.0,83.0,79.0,56.0,11/30/1996,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK Vol. 3,259960,,,90.0,81.0,78.0,55.0,10/31/1997,x,,,,,,,,,,,x,,,,,,,
YOU DON'T KNOW JACK Vol. 4 The Ride,259980,,,91.0,85.0,81.0,98.0,11/30/1998,x,,,,,,,,,,,x,,,,,,,
Your Only Move Is HUSTLE,2212330,35.26666667,,96.0,96.0,94.0,17391.0,2/2/2023,x,,x,x,,,,,,,,x,,,,,,,
Yu-Gi-Oh! Duel Links,601510,1.266666667,,83.0,83.0,82.0,41841.0,11/16/2017,x,,,x,,,x,,,x,,,,,,,x,,
Yu-Gi-Oh! Master Duel,1449850,8.816666667,,75.0,75.0,74.0,71865.0,1/18/2022,x,,,x,,,,,,x,,,,,,,x,,
YUR,1188920,14.16666667,,85.0,82.0,80.0,486.0,9/2/2020,x,,,,,,,,,,,,,,,,,,
